book,chapter_num,afinn_mean
Onyx Storm (The Empyrean Book 3,83,-0.37435897435897436
Onyx Storm (The Empyrean Book 3,84,-0.08552631578947369
Onyx Storm (The Empyrean Book 3,85,-0.9767441860465116
Onyx Storm (The Empyrean Book 3,86,-0.34285714285714286
Onyx Storm (The Empyrean Book 3,87,-0.13756613756613756
Onyx Storm (The Empyrean Book 3,88,-0.08108108108108109
Onyx Storm (The Empyrean Book 3,89,-0.6259541984732825
Onyx Storm (The Empyrean Book 3,90,-0.06382978723404255
Onyx Storm (The Empyrean Book 3,91,-0.5965909090909091
Onyx Storm (The Empyrean Book 3,92,-0.4703389830508475
Onyx Storm (The Empyrean Book 3,93,-0.7516778523489933
Onyx Storm (The Empyrean Book 3,94,-0.7078651685393258
Onyx Storm (The Empyrean Book 3,95,-0.782051282051282
Onyx Storm (The Empyrean Book 3,96,-0.5189873417721519
Onyx Storm (The Empyrean Book 3,97,-0.3173076923076923
Onyx Storm (The Empyrean Book 3,98,-0.5354330708661418
Onyx Storm (The Empyrean Book 3,99,-0.2358490566037736
Onyx Storm (The Empyrean Book 3,100,-0.5321637426900585
Onyx Storm (The Empyrean Book 3,101,-0.12138728323699421
Onyx Storm (The Empyrean Book 3,102,-1.294871794871795
Onyx Storm (The Empyrean Book 3,103,-0.3181818181818182
Onyx Storm (The Empyrean Book 3,104,0.12837837837837837
Onyx Storm (The Empyrean Book 3,105,-1.1584158415841583
Onyx Storm (The Empyrean Book 3,106,-0.031746031746031744
Onyx Storm (The Empyrean Book 3,107,-0.7596153846153846
Onyx Storm (The Empyrean Book 3,108,-0.9726027397260274
Onyx Storm (The Empyrean Book 3,109,-0.8027210884353742
Onyx Storm (The Empyrean Book 3,110,-1.06
Onyx Storm (The Empyrean Book 3,111,-0.42441860465116277
Onyx Storm (The Empyrean Book 3,112,-0.6953125
Onyx Storm (The Empyrean Book 3,113,-0.14074074074074075
Onyx Storm (The Empyrean Book 3,114,-0.688
Onyx Storm (The Empyrean Book 3,115,-0.32323232323232326
Onyx Storm (The Empyrean Book 3,116,-0.5238095238095238
Onyx Storm (The Empyrean Book 3,117,-0.6338028169014085
Onyx Storm (The Empyrean Book 3,118,-0.8939393939393939
Onyx Storm (The Empyrean Book 3,119,-0.28735632183908044
Onyx Storm (The Empyrean Book 3,120,-0.5333333333333333
Onyx Storm (The Empyrean Book 3,121,-0.2
Onyx Storm (The Empyrean Book 3,122,0
Onyx Storm (The Empyrean Book 3,123,-0.6041666666666666
Onyx Storm (The Empyrean Book 3,124,-0.38961038961038963
Onyx Storm (The Empyrean Book 3,125,-1.1785714285714286
Onyx Storm (The Empyrean Book 3,126,-0.6222222222222222
Onyx Storm (The Empyrean Book 3,127,-0.7127659574468085
Onyx Storm (The Empyrean Book 3,128,-0.7834394904458599
Onyx Storm (The Empyrean Book 3,129,-0.6788990825688074
Onyx Storm (The Empyrean Book 3,130,-1.0424242424242425
Onyx Storm (The Empyrean Book 3,131,-1.175
Onyx Storm (The Empyrean Book 3,132,-0.38333333333333336
Shatter Me,0,1
