saga,sentiment,media_prop
NA,anger,0.09680218737498313
NA,anticipation,0.08263677301979469
NA,disgust,0.05477479466105372
NA,fear,0.1112075281352441
NA,joy,0.05733785990539096
NA,negative,0.18589819333146151
NA,positive,0.1844881122787119
NA,sadness,0.08683034980224753
NA,surprise,0.0566976485488562
NA,trust,0.105619502230768
